

OSG efficiency summary by Site & VO for  2017-04-23 - 2017-04-30 (midnight UTC - midnight UTC)
including all jobs that finished in that time period.
Wall Duration (Wall) is expressed in hours and rounded to the nearest hour. Wall
Duration is the duration between the instant the job started running
and the instant the job ended its execution.
Deltas are the differences with the previous period.
For all jobs finished between 2017-04-23 and 2017-04-30 (midnight UTC)
---------------------------------------------------------------------------------------------------------------------------------------------------------
  #   | Site                   | VO              |     Cores |     Njobs |     Delta |      Wall |      Delta | CpuToWall | Delta | %Effi | Delta
---------------------------------------------------------------------------------------------------------------------------------------------------------
  122 | Fermilab-GlideinWMS-fifebatch1 | genie           |         1 |         0 |       -54 |         0 |       -153 |      0.00 | -0.74 |     0 |   -74
  123 | Fermilab-GlideinWMS-fifebatch1 | gm2             |         1 |     4,117 |    -3,381 |   5,396.6 |      1,117 |      0.94 | -0.03 |    94 |    -3
  124 | Fermilab-GlideinWMS-fifebatch1 | lariat          |         1 |     1,250 |   -13,725 |   2,348.4 |     -2,043 |      0.01 | -0.64 |     1 |   -64
  125 | Fermilab-GlideinWMS-fifebatch1 | mars            |         1 |       975 |    -2,784 |  14,842.7 |    -44,561 |      0.82 |  0.03 |    82 |     3
  126 | Fermilab-GlideinWMS-fifebatch1 | microboone      |         1 |    57,424 |   -75,510 |  57,289.0 |    -76,115 |      0.76 | -0.05 |    76 |    -5
  127 | Fermilab-GlideinWMS-fifebatch1 | minerva         |         1 |    19,853 |  -104,912 |  25,908.2 |   -111,102 |      0.73 | -0.06 |    73 |    -6
  128 | Fermilab-GlideinWMS-fifebatch1 | minos           |         1 |    60,237 |   -73,170 | 121,012.9 |   -180,079 |      0.98 | -0.01 |    98 |    -1
  129 | Fermilab-GlideinWMS-fifebatch1 | mu2e            |         1 |     5,409 |   -19,677 |  29,025.9 |    -30,728 |      0.90 |  0.00 |    90 |     0
  130 | Fermilab-GlideinWMS-fifebatch1 | nova            |         1 |    39,409 |   -78,312 | 131,795.3 |   -224,248 |      0.76 |  0.13 |    76 |    13
  131 | Fermilab-GlideinWMS-fifebatch1 | seaquest        |         1 |     2,804 |     1,491 |   7,780.5 |      4,313 |      0.79 | -0.02 |    79 |    -2
  132 | GLOW                   | cms             |         1 |     3,449 |   -63,766 |     485.6 |    -48,386 |      0.18 |  0.01 |    18 |     1
  133 | GLOW                   | cms             |         8 |       708 |    -1,146 |  30,998.3 |    -36,067 |      4.95 | -0.15 |    62 |    -2
  134 | GLOW                   | glow            |         1 |   141,304 |   -68,709 |  39,886.7 |    -56,616 |      0.00 |  0.00 |     0 |     0
  135 | GLOW                   | lz              |         1 |         4 |       -16 |       0.2 |          0 |      0.43 | -0.10 |    43 |   -10
