RecordID,@received,EndTime,ResourceType,ProbeName,Raw_SiteName,Host_description,Host,ResourceGroup,OIM_SiteName,SuccessfulMatch
xd-login.opensciencegrid.org:3892159.609,2017-02-04T20:00:00.520Z,2017-02-04T19:53:21Z,Payload,condor:xd-login.opensciencegrid.org,XD-LOGIN,GLOW,e199.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sub-simprod.icecube.wisc.edu:21442.9,2017-02-07T22:29:47.154Z,2017-02-07T22:18:29Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,NPX,c9-13.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
login03.hep.wisc.edu:3914117.524,2017-02-04T10:39:12.923Z,2017-02-04T10:25:26Z,Payload,condor:login03.hep.wisc.edu,GLOW_SUBMIT3,GLOW_SUBMIT3,e122.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login01.osgconnect.net:2469859.3365,2017-02-07T17:03:19.105Z,2017-02-07T16:55:56Z,Payload,condor:login01.osgconnect.net,OSG-Connect,NPX,node008.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
login06.hep.wisc.edu:2672561.1254,2017-02-04T10:41:30.636Z,2017-02-04T10:33:40Z,Payload,condor:login06.hep.wisc.edu,GLOW_SUBMIT6,GLOW_SUBMIT6,e399.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sub-simprod.icecube.wisc.edu:21442.2,2017-02-07T22:29:47.146Z,2017-02-07T22:22:54Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,NPX,c9-2.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
sub-simprod.icecube.wisc.edu:21442.4,2017-02-07T22:29:47.148Z,2017-02-07T22:23:47Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,NPX,c9-2.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
login06.hep.wisc.edu:2672561.1251,2017-02-04T10:41:30.636Z,2017-02-04T10:34:51Z,Payload,condor:login06.hep.wisc.edu,GLOW_SUBMIT6,GLOW_SUBMIT6,g27n22.hep.wisc.edu (primary) ,GLOW,GLOW,Success
login01.osgconnect.net:1794837.715,2017-02-07T13:18:44.076Z,2017-02-07T13:13:26Z,Payload,condor:login01.osgconnect.net,OSG-Connect,NPX,node113.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
login01.osgconnect.net:99898.4163,2017-02-04T06:35:42.785Z,2017-02-04T06:26:02Z,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,c015.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
csiu.grid.iu.edu:216591.276,2017-02-08T02:42:25.924Z,2017-02-08T02:25:32Z,Payload,condor:csiu.grid.iu.edu,IU-CSIU,GLOW,e375.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login02.osgconnect.net:1632611.646,2017-02-07T23:13:36.629Z,2017-02-07T23:07:56Z,Payload,condor:login02.osgconnect.net,OSG-Connect,GLOW,e293.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login01.osgconnect.net:449214.809,2017-02-04T20:06:55.254Z,2017-02-04T19:54:39Z,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,g20n03.hep.wisc.edu (primary) ,GLOW,GLOW,Success
xd-login.opensciencegrid.org:2081294.2199,2017-02-04T16:44:58.786Z,2017-02-04T16:33:32Z,Payload,condor:xd-login.opensciencegrid.org,XD-LOGIN,NPX,gtx-33.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
login01.osgconnect.net:2348739.413,2017-02-07T16:11:16.367Z,2017-02-07T15:58:49Z,Payload,condor:login01.osgconnect.net,OSG-Connect,NPX,node024.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
sugwg-osg.phy.syr.edu:259324.909,2017-02-07T23:41:23.315Z,2017-02-07T23:23:08Z,Payload,condor:sugwg-osg.phy.syr.edu,Syracuse,GLOW,g18n01.hep.wisc.edu (primary) ,GLOW,GLOW,Success
login01.osgconnect.net:423114.955,2017-02-04T19:55:29.439Z,2017-02-04T19:47:51Z,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,g24n03.hep.wisc.edu (primary) ,GLOW,GLOW,Success
sub-simprod.icecube.wisc.edu:20387.215,2017-02-07T13:18:47.665Z,2017-02-07T13:14:05Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,CHTC,e403.chtc.wisc.edu (primary) ,,CHTC,Success
login01.osgconnect.net:1284579.2210,2017-02-08T04:14:29.408Z,2017-02-08T04:04:13Z,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,e394.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
xd-login.opensciencegrid.org:1873992.2050,2017-02-05T02:56:50.546Z,2017-02-05T02:48:58Z,Payload,condor:xd-login.opensciencegrid.org,XD-LOGIN,GLOW,e104.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
xd-login.opensciencegrid.org:1866438.706,2017-02-04T23:37:36.743Z,2017-02-04T23:24:22Z,Payload,condor:xd-login.opensciencegrid.org,XD-LOGIN,GLOW,g18n26.hep.wisc.edu (primary) ,GLOW,GLOW,Success
login01.osgconnect.net:2348739.1850,2017-02-07T16:12:57.562Z,2017-02-07T16:09:33Z,Payload,condor:login01.osgconnect.net,OSG-Connect,NPX,rad-5.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
login01.osgconnect.net:2348739.1857,2017-02-07T16:12:57.595Z,2017-02-07T16:09:35Z,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,e271.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login05.hep.wisc.edu:3327020.413,2017-02-04T10:31:23.427Z,2017-02-04T10:19:11Z,Payload,condor:login05.hep.wisc.edu,GLOW_SUBMIT5,GLOW_SUBMIT5,g29n04.hep.wisc.edu (primary) ,GLOW,GLOW,Success
login01.osgconnect.net:300207.2813,2017-02-04T19:29:31.751Z,2017-02-04T19:15:08Z,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,e152.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
csiu.grid.iu.edu:231055.15,2017-02-08T03:23:08.671Z,2017-02-08T03:05:50Z,Payload,condor:csiu.grid.iu.edu,IU-CSIU,GLOW,e371.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
xd-login.opensciencegrid.org:2081294.2227,2017-02-04T16:45:02.509Z,2017-02-04T16:31:53Z,Payload,condor:xd-login.opensciencegrid.org,XD-LOGIN,GLOW,e093.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login01.osgconnect.net:1396912.378,2017-02-08T04:38:25.208Z,2017-02-08T04:29:57Z,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,e458.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login01.osgconnect.net:1153283.2983,2017-02-08T03:32:58.111Z,2017-02-08T03:07:43Z,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,e293.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login05.hep.wisc.edu:3327020.1867,2017-02-04T10:32:41.261Z,2017-02-04T10:20:53Z,Payload,condor:login05.hep.wisc.edu,GLOW_SUBMIT5,GLOW_SUBMIT5,g18n01.hep.wisc.edu (primary) ,GLOW,GLOW,Success
login01.osgconnect.net:2584.4347,2017-02-04T06:15:04.547Z,2017-02-04T06:07:19Z,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,e052.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login02.osgconnect.net:1699731.11,2017-02-04T04:45:09.788Z,2017-02-04T04:41:34Z,Payload,condor:login02.osgconnect.net,OSG-Connect,GLOW,g19n02.hep.wisc.edu (primary) ,GLOW,GLOW,Success
xd-login.opensciencegrid.org:330759.449,2017-02-04T05:51:30.350Z,2017-02-04T05:48:29Z,Payload,condor:xd-login.opensciencegrid.org,XD-LOGIN,GLOW,e090.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugwg-osg.phy.syr.edu:2553204.53,2017-02-05T02:04:32.360Z,2017-02-05T02:03:10Z,Payload,condor:sugwg-osg.phy.syr.edu,Syracuse,GLOW,g19n26.hep.wisc.edu (primary) ,GLOW,GLOW,Success
login01.osgconnect.net:1284579.1541,2017-02-08T04:13:58.902Z,2017-02-08T04:00:28Z,Payload,condor:login01.osgconnect.net,OSG-Connect,NPX,node092.icecube.wisc.edu (primary) ,IceCube,WIPAC,Success
login05.hep.wisc.edu:3327020.1147,2017-02-04T10:33:06.759Z,2017-02-04T10:15:05Z,Payload,condor:login05.hep.wisc.edu,GLOW_SUBMIT5,GLOW_SUBMIT5,c013.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login05.hep.wisc.edu:3327020.1328,2017-02-04T10:31:35.609Z,2017-02-04T10:12:17Z,Payload,condor:login05.hep.wisc.edu,GLOW_SUBMIT5,GLOW_SUBMIT5,g20n02.hep.wisc.edu (primary) ,GLOW,GLOW,Success
login05.hep.wisc.edu:3327020.1326,2017-02-04T10:31:35.609Z,2017-02-04T10:18:54Z,Payload,condor:login05.hep.wisc.edu,GLOW_SUBMIT5,GLOW_SUBMIT5,g18n01.hep.wisc.edu (primary) ,GLOW,GLOW,Success
login02.osgconnect.net:1674312.22,2017-02-05T07:03:01.033Z,2017-02-05T06:54:53Z,Payload,condor:login02.osgconnect.net,OSG-Connect,GLOW,e202.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login05.hep.wisc.edu:3327020.1631,2017-02-04T10:33:02.995Z,2017-02-04T10:19:14Z,Payload,condor:login05.hep.wisc.edu,GLOW_SUBMIT5,GLOW_SUBMIT5,atlas18.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login05.hep.wisc.edu:3327020.1630,2017-02-04T10:33:02.995Z,2017-02-04T10:14:29Z,Payload,condor:login05.hep.wisc.edu,GLOW_SUBMIT5,GLOW_SUBMIT5,g28n17.hep.wisc.edu (primary) ,GLOW,GLOW,Success
login05.hep.wisc.edu:3327020.1633,2017-02-04T10:33:02.997Z,2017-02-04T10:12:47Z,Payload,condor:login05.hep.wisc.edu,GLOW_SUBMIT5,GLOW_SUBMIT5,g27n22.hep.wisc.edu (primary) ,GLOW,GLOW,Success
login05.hep.wisc.edu:3327020.1320,2017-02-04T10:31:35.608Z,2017-02-04T10:13:02Z,Payload,condor:login05.hep.wisc.edu,GLOW_SUBMIT5,GLOW_SUBMIT5,e405.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login03.hep.wisc.edu:3914117.379,2017-02-04T10:39:16.474Z,2017-02-04T10:24:54Z,Payload,condor:login03.hep.wisc.edu,GLOW_SUBMIT3,GLOW_SUBMIT3,g26n23.hep.wisc.edu (primary) ,GLOW,GLOW,Success
sub-simprod.icecube.wisc.edu:7898.222,2017-02-05T03:12:37.816Z,2017-02-05T03:00:30Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,CHTC,e318.chtc.wisc.edu (primary) ,,CHTC,Success
