#RecordID,ResourceType,ProbeName,Raw_SiteName,Host_description,Host,ResourceGroup,OIM_SiteName,SuccessfulMatch#
sub-simprod.icecube.wisc.edu:20536.44,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,g31n57.hep.wisc.edu,g31n57.hep.wisc.edu (primary),,,Failure
fifebatch1.fnal.gov:2421160.973,Payload,condor:fifebatch1.fnal.gov,FIFEBATCH1,GLOW,atlas10.chtc.wisc.edu (primary),GLOW,GLOW,Success
fifebatch2.fnal.gov:3293915.238,Payload,condor:fifebatch2.fnal.gov,FIFEBATCH2,GLOW,e348.chtc.wisc.edu (primary),GLOW,GLOW,Success
fifebatch2.fnal.gov:3293915.239,Payload,condor:fifebatch2.fnal.gov,FIFEBATCH2,GLOW,e052.chtc.wisc.edu (primary),GLOW,GLOW,Success
fifebatch2.fnal.gov:3293915.316,Payload,condor:fifebatch2.fnal.gov,FIFEBATCH2,GLOW,e049.chtc.wisc.edu (primary),GLOW,GLOW,Success
fifebatch2.fnal.gov:3385754.95,Payload,condor:fifebatch2.fnal.gov,FIFEBATCH2,GLOW,c069.chtc.wisc.edu (primary),GLOW,GLOW,Success
fifebatch2.fnal.gov:3433201.250,Payload,condor:fifebatch2.fnal.gov,FIFEBATCH2,GLOW,c025.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.104,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e024.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.108,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e389.chtc.wisc.edu (primary),GLOW,GLOW,Success
login01.hep.wisc.edu:519657.116,Payload,condor:login01.hep.wisc.edu,GLOW_SUBMIT1,GLOW_SUBMIT1,e301.chtc.wisc.edu (primary),GLOW,GLOW,Success
