      user	|     group	|     queue	|      cputime (Day:Hr:Min:Sec)	|    walltimes (Day:Hr:Min:Sec)	|        memory (in MB) | vmem (in MB) 
   osgglow	|  osgusers	|   standby	|                   00:01:20:04	|                   00:01:59:59	|                 549  	|   1925.99 
   cms0358	|  cmsgrid3	|       cms	|                   00:05:55:44	|                   00:08:20:21	|                1075  	|   1496.01 
    liu489	|      xtal	|   jiang12	|                   00:00:00:00	|                   00:00:00:31	|                   2  	|     61.41 
    lee883	|       aae	|   tomshih	|                   11:21:41:57	|                   02:18:50:47	|                2485  	|   4106.51 
   zsdavis	|       chm	|     zwier	|                   00:03:33:52	|                   00:15:03:05	|                  23  	|    318.47 
  ikaliman	|   student	|  lslipche	|                   00:00:00:00	|                   00:00:00:06	|                   1  	|     11.08 
     dean4	|       chm	|     zwier	|                   08:01:44:00	|                   01:02:56:44	|                3806  	|  10181.77 
  aemadeld	|   student	|  kildisha	|                   00:00:00:00	|                   00:00:00:17	|                   2  	|     61.40 
     asane	|        me	|   standby	|                   00:09:12:38	|                   00:04:52:12	|                 406  	|    791.61 
   cms0945	|  cmsgrid9	|       cms	|                   00:00:00:00	|                   00:00:00:34	|                  10  	|    143.12 
   cms0751	|  cmsgrid7	|       cms	|                   00:00:04:01	|                   00:00:20:27	|                 226  	|    596.17 
    psmith	|      pucc	|   standby	|                   00:00:00:00	|                   00:00:31:39	|                   2  	|     13.77 
  vvaquero	|       chm	|     zwier	|                   00:03:11:46	|                   00:00:56:57	|                3417  	|   9379.28 
  psengupt	|       ece	|   ncn-par	|                   00:03:04:33	|                   00:00:14:31	|               14873  	|  27239.19 
   jiang12	|      xtal	|   standby	|                   00:00:02:24	|                   00:00:15:21	|                 225  	|   1005.54 
   cms0929	|  cmsgrid9	|       cms	|                   00:00:11:37	|                   00:00:40:51	|                 648  	|   1019.49 
   kshiple	|       aae	|   standby	|                   00:04:10:15	|                   00:00:24:32	|                 646  	|   1053.41 
  nkharche	|       ece	|   standby	|                   00:01:50:02	|                   00:00:27:55	|                 431  	|   2365.46 
  savdoshe	|       mse	|       ncn	|                   02:00:32:15	|                   00:04:02:40	|                1708  	|   4754.52 
     areza	|   student	|   standby	|                   00:07:24:51	|                   00:01:58:54	|                6579  	|  13571.87 
  schinnam	|       aae	|   tomshih	|                   00:05:06:58	|                   00:02:46:39	|                3398  	|   5042.47 
  thompsjj	|      mdch	|     mlill	|                   00:04:29:13	|                   00:04:56:01	|                 172  	|    302.62 
     jin77	|   student	|      ebdl	|                   00:00:21:22	|                   00:00:19:14	|                 109  	|    194.48 
   park199	|        me	|   standby	|                   00:03:47:18	|                   00:00:17:07	|               12472  	|  19655.71 
      hanx	|      stat	|       wsc	|                   00:00:00:22	|                   00:04:33:04	|                 586  	|   2829.52 
  lkingsle	|      mdch	|     mlill	|                   00:00:00:00	|                   00:00:00:02	|                   0  	|      0.00 
    jhwong	|      xtal	|   standby	|                   00:00:13:08	|                   00:08:17:40	|                2333  	|   5508.27 
  jbraunis	|   student	|     chunh	|                   00:00:05:01	|                   00:02:35:16	|                 169  	|    537.71 
    tklose	|      xtal	|   standby	|                   03:05:04:53	|                   00:05:26:24	|                6910  	|  17629.32 
   cms0018	|  cmsgrid0	|       cms	|                   00:02:49:11	|                   00:04:09:45	|                 511  	|    791.71 
