+----------------------------------------+------------+--------+------------+-------+-----------------+-------------------+--------------+
| del_JUR                                | Period     | Status | Processors | Njobs | CpuUserDuration | CpuSystemDuration | WallDuration |
+----------------------------------------+------------+--------+------------+-------+-----------------+-------------------+--------------+
| call del_JUR_from_Summary(1299500115); | 2014-04-14 | 0      |          1 |     1 |             753 |                 1 |       387604 |
| call del_JUR_from_Summary(1299500116); | 2014-04-14 | 0      |          1 |     1 |            1933 |                 1 |       389808 |
| call del_JUR_from_Summary(1299500117); | 2014-04-14 | 0      |          1 |     1 |            1349 |                 0 |       388828 |
| call del_JUR_from_Summary(1299500118); | 2014-04-14 | 0      |          1 |     1 |            1576 |                 1 |       388914 |
| call del_JUR_from_Summary(1299500119); | 2014-04-14 | 0      |          1 |     1 |            1087 |                 0 |       388743 |
| call del_JUR_from_Summary(1299500120); | 2014-04-14 | 0      |          1 |     1 |            1099 |                 1 |       388568 |
| call del_JUR_from_Summary(1299500121); | 2014-04-14 | 0      |          1 |     1 |            1948 |                 1 |       391545 |
| call del_JUR_from_Summary(1299500122); | 2014-04-14 | 0      |          1 |     1 |            1969 |                 0 |       389698 |
| call del_JUR_from_Summary(1299500123); | 2014-04-14 | 0      |          1 |     1 |            1345 |                 0 |       388913 |
| call del_JUR_from_Summary(1299500124); | 2014-04-14 | 0      |          1 |     1 |             584 |                 0 |       387184 |
| call del_JUR_from_Summary(1299500125); | 2014-04-14 | 0      |          1 |     1 |             883 |                 2 |       388090 |
| call del_JUR_from_Summary(1299500126); | 2014-04-14 | 0      |          1 |     1 |            2438 |                 1 |       390399 |
| call del_JUR_from_Summary(1299500127); | 2014-04-14 | 0      |          1 |     1 |            2693 |                 6 |       392184 |
| call del_JUR_from_Summary(1299505637); | 2014-04-14 | 0      |          1 |     1 |            1785 |                 0 |       388689 |
| call del_JUR_from_Summary(1299505638); | 2014-04-14 | 0      |          1 |     1 |            1371 |                 2 |       388051 |
| call del_JUR_from_Summary(1299505639); | 2014-04-14 | 0      |          1 |     1 |            4619 |                 2 |       432967 |
| call del_JUR_from_Summary(1299505640); | 2014-04-14 | 0      |          1 |     1 |             663 |                 1 |       387761 |
| call del_JUR_from_Summary(1299505641); | 2014-04-14 | 0      |          1 |     1 |             673 |                 0 |       389382 |
| call del_JUR_from_Summary(1299505642); | 2014-04-14 | 0      |          1 |     1 |            2002 |                 0 |       389595 |
| call del_JUR_from_Summary(1299505643); | 2014-04-14 | 0      |          1 |     1 |            1907 |                 0 |       388508 |
| call del_JUR_from_Summary(1299505644); | 2014-04-14 | 0      |          1 |     1 |            1740 |                 1 |       390689 |
| call del_JUR_from_Summary(1299505645); | 2014-04-14 | 0      |          1 |     1 |            1217 |                 1 |       388108 |
| call del_JUR_from_Summary(1299505646); | 2014-04-14 | 0      |          1 |     1 |            1357 |                 1 |       388059 |
| call del_JUR_from_Summary(1299505647); | 2014-04-14 | 0      |          1 |     1 |            2192 |                 1 |       388769 |
| call del_JUR_from_Summary(1299505648); | 2014-04-14 | 0      |          1 |     1 |            1169 |                 0 |       387666 |
| call del_JUR_from_Summary(1299505649); | 2014-04-14 | 0      |          1 |     1 |            1867 |                 1 |       388532 |
