[Sun Apr 02 03:41:07 2017] [notice] Digest: generating secret for digest authentication ...
[Tue Apr 04 16:22:56 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 16:22:56 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 16:22:56 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 16:22:56 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 16:22:56 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 16:22:56 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 16:22:57 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 16:22:57 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 16:22:57 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 16:22:57 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 16:22:58 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 16:22:58 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 17:39:39 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 17:39:39 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 17:39:39 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 17:39:39 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 17:39:39 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 17:39:39 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 17:39:40 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 17:39:40 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 17:39:40 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 17:39:40 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Tue Apr 04 17:39:40 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/apple-touch-icon.png
[Tue Apr 04 17:39:40 2017] [error] [client 128.150.200.195] File does not exist: /var/www/html/favicon.ico
[Tue Apr 04 18:01:14 2017] [error] [client 10.79.217.2] File does not exist: /var/www/html/selfupdate
[Tue Apr 04 18:01:15 2017] [error] [client 10.79.217.2] Invalid method in request id
[Tue Apr 04 18:01:16 2017] [error] [client 10.79.217.2] Invalid URI in request GET /../../../../../../../../../../../ HTTP/1.1
[Tue Apr 04 18:01:16 2017] [error] [client 10.79.217.2] Invalid method in request ABCD / HTTP/1.1
[Tue Apr 04 18:01:16 2017] [error] [client 10.79.217.2] File does not exist: /var/www/html/<script>alert(53416)<
[Tue Apr 04 18:01:16 2017] [error] [client 10.79.217.2] File does not exist: /var/www/html/2fik17n3gjiyr4mbkdk
