#RecordID,ResourceType,ProbeName,Raw_SiteName,Host_description,Host,ResourceGroup,OIM_SiteName,SuccessfulMatch#
sugar-dev2.phy.syr.edu:2821033.9802,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e357.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-5.chtc.wisc.edu:2901081.339,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,gzk9000c011.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2586178.139,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,c220g2-011027.wisc.cloudlab.us (primary) ,,,Failure
submit-3.chtc.wisc.edu:990878.660,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e012.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:990878.845,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e410.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2491441.779,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,atlas44.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:778209.1086,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e277.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:1069036.2337,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e084.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2491441.777,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e345.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:1696351.2346,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,c082.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
